customer_id,show_id,customer_name,age,gender,country,subscription_type,watch_time_minutes,rating
c5107,s7555,Joyce Valentine,59,Female,UK,Standard,4093,5
c5108,s9421,Henry Mccoy,13,Other,Germany,Premium,3409,4
c5109,s9136,Caleb Hodges,30,Other,South Korea,Premium,3060,4
c5110,s3826,Michelle Ware,27,Female,India,Premium,3161,1
c5111,s20354,Christopher Cole,63,Other,USA,Premium,2018,4
c5112,s1898,Danielle Ramirez,56,Male,Brazil,Basic,3019,5
c5113,s18676,Timothy Ponce,62,Male,South Korea,Standard,4691,3
c5114,s7461,Alejandra Kim,68,Female,Canada,Basic,2707,5
c5115,s3541,Melissa Delacruz,60,Other,South Korea,Basic,2529,4
c5116,s11938,Dale Brooks,34,Female,Australia,Standard,4097,1
c5117,s15708,David Alvarado,47,Male,Brazil,Premium,1665,3
c5118,s1708,Edward White,72,Other,Germany,Standard,586,4
c5119,s13578,Joshua Knox,48,Male,Canada,Premium,591,2
c5120,s15611,Jeremy Hardin,69,Male,South Korea,Standard,1562,2
c5121,s14669,Lori Lowe,76,Female,India,Premium,4155,3
c5122,s7472,Cory Acosta,78,Other,France,Standard,2110,5
c5123,s7892,Jordan Salas,56,Male,USA,Standard,972,3
c5124,s17071,Erin Bell,40,Other,India,Premium,1935,3
c5125,s19624,Marc Griffin,64,Female,UK,Premium,2541,3
c5126,s17803,Tamara Salazar,50,Female,South Korea,Premium,3356,3
c5127,s2026,Jimmy Henderson,22,Male,India,Standard,4414,2
c5128,s14389,Jessica Smith,67,Female,Germany,Premium,935,5
c5129,s6647,Kimberly Peterson,22,Female,Japan,Premium,2331,1
c5130,s17370,Dale Perez,53,Male,Australia,Standard,4129,4
c5131,s12763,Daniel Brown,62,Other,USA,Premium,2265,1
c5132,s6622,Cassie Torres,26,Other,USA,Standard,613,5
c5133,s6709,Michelle Ortiz,54,Other,USA,Premium,2227,5
c5134,s16658,Michael Rogers,73,Female,Canada,Premium,1767,4
c5135,s16761,Holly Kelly,51,Other,India,Standard,154,3
c5136,s3175,Melissa Garrett,51,Male,Japan,Standard,3776,1
c5137,s5950,Jo Juarez,18,Other,Canada,Basic,2194,4
c5138,s1210,Mr. David Mccoy,67,Female,UK,Standard,2503,1
c5139,s16538,John Christian,20,Male,Australia,Premium,4008,2
c5140,s1193,Christine Ward,32,Male,Canada,Standard,1213,1
c5141,s10334,Timothy Stone,34,Male,South Korea,Standard,3515,1
c5142,s9408,Thomas Porter,39,Female,USA,Basic,2397,2
c5143,s13706,Mathew Fowler,56,Female,Canada,Standard,256,5
c5144,s1340,Brian Larson,61,Female,India,Premium,3073,3
c5145,s20879,Preston Wood,78,Other,Brazil,Premium,2225,4
c5146,s2525,Thomas Stark,59,Other,Germany,Basic,3910,5
c5147,s17210,Jason Gonzalez,74,Male,Australia,Basic,3623,3
c5148,s4929,Sherri Vance,74,Female,Germany,Standard,4724,5
c5149,s8188,Anna Smith,36,Male,Brazil,Standard,2808,3
c5150,s18177,Brittany Wood,78,Female,USA,Premium,1444,2
c5151,s20771,Richard Johnson,67,Other,India,Basic,2166,5
c5152,s16910,Benjamin Jones,46,Other,Australia,Premium,1790,4
c5153,s19564,Mark Russell,33,Male,Canada,Basic,4817,1
c5154,s8188,Debra Clark,72,Other,France,Basic,4433,3
c5155,s14821,Nicholas Jackson,49,Female,USA,Premium,847,4
c5156,s5630,Mark Hammond,30,Other,Germany,Premium,2841,4
c5157,s17431,Sophia Mclean DDS,66,Other,UK,Basic,1896,3
c5158,s18345,Sarah Gonzales,66,Male,France,Basic,1970,3
c5159,s8481,Mr. Dylan Fernandez MD,55,Female,Canada,Basic,1513,3
c5160,s11498,Jessica Johnson,45,Female,UK,Standard,4388,4
c5161,s11319,Benjamin Miller,42,Other,Brazil,Premium,3653,3
c5162,s6248,Benjamin Harrell,58,Male,Australia,Basic,4794,2
c5163,s10692,Margaret Rosario,79,Male,Canada,Basic,386,4
c5164,s13175,Kathryn Carter,21,Female,Australia,Basic,741,2
c5165,s9153,Katherine Carter,26,Female,Australia,Basic,2044,5
c5166,s10735,Michael Fernandez,15,Female,Brazil,Basic,4397,1
c5167,s16865,Frederick Rice,74,Male,Australia,Basic,213,5
c5168,s16180,Angela Phillips,66,Other,Germany,Standard,4458,4
c5169,s12222,Kimberly Thompson,16,Other,France,Basic,4373,5
c5170,s17926,Timothy Johnson,35,Male,Japan,Basic,352,5
c5171,s17158,Gary Henson,58,Female,Germany,Premium,3427,2
c5172,s6655,Cheryl Evans,31,Male,Germany,Standard,2087,5
c5173,s11414,Rachel Ortega,67,Other,Canada,Premium,1716,5
c5174,s19652,Caroline Martin,27,Female,USA,Standard,4526,3
c5175,s3101,Ricardo Valentine,28,Male,UK,Premium,4005,3
c5176,s18357,Adam Lewis,37,Female,India,Basic,101,1
c5177,s15963,Heather Freeman,54,Male,UK,Standard,337,4
c5178,s8797,Michaela Bryant,57,Other,USA,Premium,490,5
c5179,s14110,David Coleman,21,Other,India,Basic,186,4
c5180,s7161,Lindsay Juarez,48,Other,Australia,Premium,3678,1
c5181,s5378,Miss Kaitlyn Hebert,18,Female,Germany,Basic,4740,4
c5182,s19851,Casey Jones,48,Male,Brazil,Premium,2686,5
c5183,s17349,Sarah Flores,21,Male,South Korea,Premium,433,4
c5184,s20887,Nicholas Wright,55,Female,Germany,Premium,4556,3
c5185,s6795,Dustin Smith,52,Other,USA,Standard,1244,2
c5186,s6173,Sandra Moody,52,Male,Brazil,Basic,4496,5
c5187,s4120,Ralph Young,24,Other,India,Standard,3046,5
c5188,s12304,Christine Sanders,24,Other,Japan,Premium,3952,4
c5189,s6133,William Gilbert,30,Female,Brazil,Premium,341,2
c5190,s1845,Victor Santos,49,Male,India,Standard,4371,2
c5191,s10937,Richard Bautista,38,Other,France,Premium,4227,5
c5192,s17932,Javier Garcia,56,Female,Brazil,Basic,3913,5
c5193,s7649,Kevin Robinson,47,Male,Canada,Standard,4792,1
c5194,s13234,Mike Lewis,68,Male,Canada,Premium,2748,2
c5195,s3064,Victoria Johnson,39,Female,Australia,Premium,520,1
c5196,s12302,Jackie Walker,39,Male,USA,Basic,4536,2
c5197,s1849,Kelsey Coleman,74,Other,Australia,Premium,4425,1
c5198,s9184,Travis Greene,73,Female,Brazil,Standard,2564,5
c5199,s14140,Lisa Gonzalez,72,Other,USA,Basic,1298,5
c5200,s16106,Stephen Parrish,49,Female,USA,Basic,2699,1
c5201,s18924,Mathew Young,45,Male,USA,Standard,1217,5
c5202,s8918,David Alexander,21,Female,France,Basic,170,1
c5203,s3925,Billy Dixon,65,Male,Canada,Premium,4456,1
c5204,s6840,Stephanie Barrera,60,Other,France,Basic,4585,4
c5205,s7824,Erica Collins,78,Male,Japan,Premium,1830,4
c5206,s7992,Dustin Jackson,72,Male,UK,Standard,4048,3
c5207,s5295,Teresa Gordon,69,Other,Australia,Premium,1909,2
c5208,s4400,Aaron Wilson,59,Male,UK,Premium,4797,3
c5209,s2101,Richard Smith,19,Male,Japan,Basic,3266,5
c5210,s9517,Stacy Peterson,41,Female,South Korea,Basic,954,3
c5211,s11818,Jeffrey Scott,36,Male,India,Standard,2554,4
c5212,s20400,Aaron Chavez,63,Female,South Korea,Basic,4725,2
c5213,s16042,Mark Cervantes,17,Other,Japan,Premium,895,1
c5214,s2083,Lisa Mata,55,Other,UK,Basic,4058,5
c5215,s13524,Rebecca Ryan,50,Female,South Korea,Premium,1104,5
c5216,s16960,Melissa Norris,64,Male,South Korea,Standard,2253,4
c5217,s5620,Anna Aguirre,27,Female,UK,Standard,4385,4
c5218,s1755,Veronica Griffin,16,Other,Brazil,Premium,2274,5
c5219,s20262,Tina Davis,38,Male,UK,Basic,2195,5
c5220,s10616,Jennifer Chapman,61,Male,Canada,Standard,3624,3
c5221,s1010,Travis Carter,53,Male,Germany,Standard,2832,4
c5222,s12527,Michael Fleming,18,Female,UK,Basic,4202,2
c5223,s20455,Jeffrey Jackson,41,Female,Germany,Premium,3882,2
c5224,s11096,Brittney Reeves,78,Male,UK,Basic,4038,1
c5225,s16551,Michael Barnes,15,Female,UK,Premium,4566,5
c5226,s19511,Alyssa Duran,28,Male,India,Standard,3623,1
c5227,s14945,Gary Lang,31,Male,India,Standard,1798,4
c5228,s10439,Lisa Liu,60,Male,France,Standard,919,5
c5229,s13190,Jeffery Crawford,30,Female,UK,Standard,2543,5
c5230,s11569,Tonya Conner,13,Female,Australia,Standard,2789,5
c5231,s13891,Sue Hodges,39,Other,UK,Premium,3809,2
c5232,s5509,Eric Horton,80,Other,Canada,Basic,1159,3
c5233,s12132,Ashley Hall,14,Other,Canada,Premium,3190,2
c5234,s6229,Dana Roberts,25,Other,India,Premium,1715,3
c5235,s4226,Tracy Friedman,18,Other,India,Standard,4886,2
c5236,s2066,Vanessa Wood,25,Male,India,Premium,2637,1
c5237,s7556,Monique Warner,51,Female,Brazil,Basic,3841,3
c5238,s1449,Jason Glover,13,Other,France,Standard,3933,4
c5239,s6451,Shannon Mcdaniel,80,Other,USA,Premium,1050,3
c5240,s2930,Nicole Collins,20,Male,Germany,Standard,4717,1
c5241,s6758,Clarence Gay,26,Female,Brazil,Premium,2891,3
c5242,s5006,Nicole Gomez,63,Male,France,Basic,3319,4
c5243,s17464,Amy Drake,44,Male,Germany,Standard,4980,1
c5244,s18606,Shawn Hill,33,Other,Canada,Standard,113,5
c5245,s14428,Chris Hartman,60,Male,France,Premium,2623,4
c5246,s18280,Ronald Mann,43,Female,USA,Standard,3880,3
c5247,s4273,Cathy Melton,63,Other,Japan,Basic,892,4
c5248,s1285,Gregory Johnson,54,Male,France,Standard,1620,5
c5249,s2672,Tiffany Green,42,Male,UK,Basic,2531,4
c5250,s6236,Joanna Chambers,78,Female,France,Standard,3373,4
c5251,s19221,Isaiah Rogers,54,Male,Australia,Premium,3858,3
c5252,s19955,Timothy Mccullough,59,Male,Germany,Basic,2808,1
c5253,s14710,Jessica Garcia,66,Female,India,Basic,2766,2
c5254,s10516,Tracy Young,69,Male,Australia,Basic,4317,4
c5255,s11147,Kyle Hartman,49,Other,India,Premium,3266,5
c5256,s15047,Norma Ball,19,Female,France,Basic,3117,1
c5257,s16892,Philip Miller,35,Female,Germany,Standard,2834,1
c5258,s18032,Dr. Brandon Gonzalez DDS,31,Other,Japan,Standard,291,5
c5259,s13573,Ryan Martin,46,Male,USA,Basic,4896,1
c5260,s18797,Duane Blair,33,Male,South Korea,Basic,1585,2
c5261,s17115,Alyssa Richards,15,Female,Australia,Premium,3510,4
c5262,s18099,Laurie Morris,20,Other,Brazil,Basic,4096,5
c5263,s2523,Michael Love,80,Male,UK,Standard,3672,2
c5264,s17174,Christopher Pearson,36,Female,Australia,Premium,2239,3
c5265,s14055,Susan Hayes,46,Male,UK,Basic,3158,2
c5266,s14242,Alexander Hughes,39,Female,Japan,Basic,4497,1
c5267,s10210,Daniel Fitzpatrick,32,Other,Germany,Premium,295,3
c5268,s5217,Tiffany Ross,44,Female,USA,Basic,476,1
c5269,s11030,Kelsey Glover,32,Other,Germany,Standard,2802,1
c5270,s15478,Ellen Barrera,61,Other,France,Standard,678,4
c5271,s15445,Brad Watson,19,Female,Japan,Basic,18,3
c5272,s20352,Margaret Allen,25,Female,Canada,Basic,2598,2
c5273,s8716,Mr. Nicholas Douglas MD,76,Female,USA,Standard,2082,1
c5274,s15031,James Long,44,Male,South Korea,Standard,2873,4
c5275,s7416,Jason Lee,28,Female,Australia,Standard,4566,4
c5276,s16368,Laura Beck,52,Male,France,Standard,4222,2
c5277,s6363,Jeffrey Lopez,25,Male,India,Standard,4524,4
c5278,s7952,Samantha Marsh,30,Other,Australia,Standard,1088,3
c5279,s11575,Barry Gould,77,Female,Brazil,Basic,2919,3
c5280,s14722,Rachel Smith,39,Female,Germany,Basic,2559,5
c5281,s5068,Ernest Reid,71,Female,USA,Premium,4134,3
c5282,s8448,Benjamin Moody,16,Male,Germany,Basic,1677,1
c5283,s2959,Reginald Smith,39,Other,Japan,Basic,2418,5
c5284,s19268,Rebekah Fuentes,50,Female,UK,Premium,4561,5
c5285,s9937,Todd Taylor,47,Female,India,Standard,4682,2
c5286,s19563,Matthew Campbell,65,Male,South Korea,Basic,2020,4
c5287,s3808,Nicole Cooper,40,Male,Germany,Basic,3086,1
c5288,s3213,Kayla Williams,49,Female,Canada,Basic,1152,1
c5289,s16231,Jason Cannon,44,Male,Australia,Basic,4185,4
c5290,s20955,Jay Martinez,51,Other,South Korea,Premium,4137,1
c5291,s3105,Anna Mcclain,58,Male,Germany,Standard,297,2
c5292,s4731,Margaret Williams,19,Male,Japan,Basic,1200,5
c5293,s19087,Joseph Page,52,Female,Germany,Premium,4234,4
c5294,s4653,Kristen Wolf,72,Male,UK,Basic,1712,4
c5295,s11317,Garrett Shelton,56,Female,Australia,Basic,1439,1
c5296,s18132,Margaret Johnson,58,Female,Australia,Premium,2101,3
c5297,s17311,Jennifer Gonzales,38,Female,France,Standard,372,4
c5298,s6407,Charles Parsons,58,Other,Germany,Standard,1755,1
c5299,s9089,William Carson,31,Other,South Korea,Standard,785,5
c5300,s15656,Brianna Hampton,52,Male,Germany,Basic,1374,4
c5301,s12307,Erin Mendoza,20,Female,UK,Premium,4979,1
c5302,s18211,Wendy Brown,73,Female,France,Premium,508,3
c5303,s6329,Jeffrey Smith,22,Other,India,Basic,2949,4
c5304,s15917,Kevin Arellano,62,Male,Brazil,Basic,2755,5
c5305,s13253,Stephen Vazquez,55,Female,India,Standard,4388,2
c5306,s11348,Arthur Howell,59,Female,Japan,Standard,3111,1
c5307,s2184,Jeffrey Farrell,35,Other,USA,Basic,4683,1
c5308,s15373,Timothy Hanna,62,Other,France,Premium,820,5
c5309,s7215,Julian Davis,18,Male,Brazil,Standard,3553,2
c5310,s18439,Teresa Flores,60,Other,France,Premium,1778,3
c5311,s5371,Marcus Thomas,52,Other,France,Standard,1698,1
c5312,s2172,Walter Patterson,18,Other,UK,Basic,3298,1
c5313,s20014,Eric Rivera,45,Female,UK,Standard,3398,4
c5314,s4037,Jessica Cline,46,Male,Brazil,Premium,1875,1
c5315,s16375,Manuel Thompson,71,Other,Canada,Premium,3197,4
c5316,s20099,Michael Castro IV,44,Male,UK,Standard,338,2
c5317,s12104,Charles Davis,63,Other,Brazil,Premium,4298,3
c5318,s5301,Daniel Donaldson,34,Female,Canada,Basic,1605,1
c5319,s11118,James Brown,26,Female,Japan,Standard,1539,5
c5320,s7056,Jessica Harris,16,Male,Germany,Premium,3826,1
c5321,s19408,Nichole Gonzalez,47,Other,Canada,Premium,1623,1
c5322,s20901,Yolanda Mcintyre,16,Other,Japan,Premium,4421,3
c5323,s4058,Kathryn Nash,52,Female,India,Standard,4752,4
c5324,s19327,Eric Williams MD,70,Other,UK,Premium,2917,5
c5325,s8603,Savannah Hoover,69,Female,India,Standard,3801,2
c5326,s8877,Alexandra Carter,50,Other,UK,Premium,3725,1
c5327,s16806,Eric Richardson,58,Other,Brazil,Premium,3891,2
c5328,s10259,Tony Harris,20,Male,Brazil,Premium,3962,4
c5329,s13447,Timothy Massey,54,Female,Brazil,Standard,4129,3
c5330,s5957,Alexander Moore,14,Male,Brazil,Premium,4113,2
c5331,s15669,Lisa Perry,28,Other,South Korea,Standard,2210,5
c5332,s1650,Jeremy Johnson,17,Other,France,Standard,4232,4
c5333,s6918,Matthew Taylor,63,Male,France,Standard,4376,3
c5334,s12014,Michael Buchanan,33,Other,Germany,Premium,3858,5
c5335,s2468,Angela Taylor,48,Other,Brazil,Standard,2891,5
c5336,s3858,Ashley Rogers,72,Female,USA,Premium,3436,5
c5337,s10518,Jeremiah Clay,57,Male,UK,Standard,3398,5
c5338,s7679,Emily Jenkins,56,Female,USA,Standard,4424,2
c5339,s7902,Desiree Rice,13,Other,France,Basic,3203,1
c5340,s19931,Jennifer Espinoza,62,Male,Australia,Basic,1876,3
c5341,s10900,Jessica Duncan,63,Male,Australia,Basic,1254,3
c5342,s3192,Christopher Daugherty,26,Other,UK,Standard,1009,4
c5343,s19522,Jeffrey Fisher,70,Male,USA,Basic,397,3
c5344,s18007,Heather Landry,48,Other,UK,Standard,4104,5
c5345,s16710,Cynthia Rose,51,Male,Canada,Basic,1826,2
c5346,s13232,Megan Gonzalez,57,Other,Australia,Standard,82,2
c5347,s8773,Miguel Lyons,18,Other,Japan,Premium,3672,2
c5348,s14749,Diane Fisher,61,Other,USA,Standard,4387,4
c5349,s11971,Shelly Obrien,53,Female,India,Standard,1215,4
c5350,s18319,Daniel Jackson,50,Female,India,Basic,4872,5
c5351,s17240,Mr. Tom Powers,64,Female,France,Basic,688,5
c5352,s17955,Tara Perez,71,Male,Japan,Basic,464,5
c5353,s13756,Dwayne Barnes,37,Other,France,Premium,521,1
c5354,s16812,Claudia Parker,54,Male,Japan,Premium,4681,1
c5355,s13335,Chris Watkins,65,Female,Australia,Premium,3745,4
c5356,s11349,Stephanie Robinson,29,Male,France,Standard,3834,4
c5357,s1954,Emily Dunlap,50,Other,South Korea,Standard,778,2
c5358,s19299,Cindy Richards,64,Male,Brazil,Basic,3430,1
c5359,s20863,Jason Hunt,52,Other,Brazil,Premium,2992,5
c5360,s11147,Shari Lam,44,Female,USA,Standard,3358,2
c5361,s14138,Deanna Doyle,44,Female,USA,Basic,656,1
c5362,s12702,Dakota Martinez,22,Female,UK,Standard,3951,4
c5363,s17512,Danielle Parks,41,Other,Australia,Standard,2599,4
c5364,s15399,William Young,76,Female,France,Standard,182,2
c5365,s8970,Dr. Holly Molina,35,Female,Australia,Standard,3963,2
c5366,s14008,Robert Carson,66,Female,India,Basic,263,4
c5367,s4327,John Jenkins,69,Other,Japan,Basic,3866,5
c5368,s4727,Bruce Moses,63,Male,USA,Premium,4626,1
c5369,s6910,Roy Dawson,46,Female,Germany,Premium,2099,4
c5370,s10294,Shelly Watson,23,Other,Australia,Standard,1496,1
c5371,s8636,April Dunn,22,Other,Brazil,Standard,3135,5
c5372,s4490,Dale Rodriguez,48,Male,South Korea,Basic,2274,3
c5373,s11284,John Hughes,23,Male,Japan,Premium,317,2
c5374,s14771,Amanda Weber,74,Male,Canada,Basic,3365,2
c5375,s2475,Audrey Johnson,16,Other,South Korea,Basic,4556,3
c5376,s1201,Veronica Chandler,76,Female,Germany,Standard,4743,3
c5377,s3643,Jamie Garrison,30,Male,Japan,Basic,1336,1
c5378,s18806,Amy Dunn,66,Male,Japan,Basic,4794,2
c5379,s20009,Carrie Hall,77,Male,USA,Basic,2075,4
c5380,s4908,Christina Smith,47,Male,Canada,Premium,2348,1
c5381,s19444,Rachel Raymond,41,Male,Canada,Premium,3532,4
c5382,s13241,Timothy Garner,35,Other,Brazil,Basic,4682,2
c5383,s9380,Terry Villarreal,33,Other,France,Basic,4253,5
c5384,s18395,Leslie Smith,66,Male,Brazil,Premium,710,4
c5385,s17025,Charles Ramirez,55,Other,South Korea,Premium,3875,5
c5386,s16768,Jesse Morgan,64,Female,Germany,Standard,1120,5
c5387,s9083,Micheal Martin,15,Female,Japan,Standard,4692,2
c5388,s16786,Amber Dunn,20,Female,Australia,Standard,4485,1
c5389,s6354,Donald Greene,21,Other,Japan,Premium,4374,5
c5390,s3569,Eric Robinson,38,Female,South Korea,Basic,2216,3
c5391,s19717,Maurice Lee,56,Female,Canada,Basic,418,2
c5392,s2630,Stephanie Cohen,26,Other,India,Standard,1718,3
c5393,s15172,Amy Garcia,30,Other,Japan,Basic,494,3
c5394,s11180,Matthew Cooke,56,Other,Japan,Basic,2126,2
c5395,s7921,Joshua Jackson,37,Other,South Korea,Standard,3749,5
c5396,s8870,Jason Koch,68,Other,South Korea,Standard,364,4
c5397,s16759,Robert Vega,73,Female,France,Basic,1516,3
c5398,s9273,Jessica Perry,45,Male,USA,Standard,3849,5
c5399,s20131,Paul Maynard,38,Male,Australia,Standard,3726,1
c5400,s7879,Tracey Brown,57,Male,South Korea,Standard,3892,3
c5401,s3073,Fred White,58,Male,South Korea,Standard,1201,3
c5402,s19224,Christine Bates,45,Male,UK,Premium,2695,4
c5403,s8480,Joshua Walker,59,Male,Australia,Standard,2796,4
c5404,s10749,Mark Nguyen,34,Other,USA,Standard,3756,2
c5405,s5648,Edward Martin,54,Female,UK,Basic,3378,4
c5406,s10823,Melissa Roberts,39,Female,UK,Premium,268,2
c5407,s20320,Dana Romero,27,Male,Australia,Standard,2936,4
c5408,s2752,William Bartlett,29,Female,Germany,Premium,3118,4
c5409,s13875,Victoria Nelson,41,Other,UK,Basic,1621,1
